CSY word (Lat. orth.)	CSY word (Cyr. orth.)	Eng. gloss 1	Russ. gloss 1	ex'ples, etym, etc.	Eng. gloss 2	Eng. gloss 3	Russ. gloss 2	Russ. gloss 3	CSY word (Cyr.) num. eq.	Russ. gloss 1 num. eq.	Russ. gloss 2 num. eq.	Russ. gloss 3 num. eq.	queries, etc.	Eng. gloss 4	Russ. gloss 4	Russ. gloss 4 num. eq.	combined English gloss	combined Russian gloss	PE (PY) source	symantic code	Sib. source code	derived forms	postbase head form	postbase alphabetization form	alphabetization field B	CSY word (Cyrillic)
–ghrukutaaghllak	-4heren65k]z2	huge N		mangteghaghrukutaaghllaget ‘gigantic houses’	gigantic N												huge N; gigantic N		< -ghrukutaaq-ghllak				–ghrukutaaghllak	ghrukutaghllak	ghrukutxghllak	-ӷрукутāҳльяқ
–ghrukutaaq	-4heren62	big N		yugrukutaaq ‘great big man’ (from yu<u>k ‘man, person’); nenglughrukutaaq ‘great big semi-subterranean house’ (from nengu ‘semi-subterranean house’); quyngighrukutaaq ‘great big reindeer’ (from quyngiq ‘reindeer’)	large N	huge N											big N; large N; huge N				< ghruk-?		–ghrukutaaq	ghrukutaq	ghrukutxq	-ӷрукутāқ
–ghrupak	-4hegfr	darned old N											need better gloss and examples				darned old N		< -ghruk-?				–ghrupak	ghrupak	ghrupak	-ӷрупак
+ghsi	-5cb	vocative plural for demonstratives		perhaps better described as a noun case than a postbase; used with non-singular demonstrative pronoun bases; ukughsi ‘you (plural), right here!’ (from uku- as in ukut ‘these right here’, plural of  una ‘this right here’); maakughsi ‘you (plural), in this area!’ (from maaku- as in ‘these around here’, plural of maana ‘this around here’)													plural vocative for demonstratives						+ghsi	ghsi	ghsi	-ҳси
–ghte-	-5ns-	become V		non-productive (or semi-productive); aqlaghaghtuq or aqlaghaghtaa ‘it became cold’ (from aqlagha ‘coldness in the air’); nutaghaghtuq ‘it became new’ (from root  nutagh- ‘newness’ as in nutaghaq ‘new thing’); nuqutughtuq ‘it got wide(r)’, nuqutughtaa ‘he made it wide(r) (from nuqutu- ‘to be wide’); iqetughtuq ‘it widened’ (from  iqetu- ‘to be wide’); kavightuq ‘it reddened’ (from root kaviq ‘redness’, as in kavite- ‘to be red’); qelmeghtuq or qelmeghtaa ‘it became shiny’ (from qelmegh- ‘to be shiny’); tangeghtughtuq ‘it hardened’ (from tangeghtu- ‘to be hard’); muugaghtuq ‘it became sweet’ (from muuga ‘sweetness’); segeghtuq ‘it became dry and brittle’ (from segeq ‘dry, brittle wood’); qanlengightuq ‘it is starting to get closer’ (from qanlengi- ‘to get closer’)	acquire the quality N												to become V; to acquire the quality N						–ghte-	ghte	ghte	-ҳты-
-ghwaagh-1				see ~–(ghw/ngw/w)aagh-1													to diligently V; to thoroughly V; to V at the proper time						~–(ghw/ngw/w)aagh-1	ghwagh1	ghwxgh1	
-ghwaaq				see ~–(ghw/ngw/w)aaq													imitation N; artificial N; model N; toy N; pretend N; little bit of N; thing like N						~–(ghw/ngw/w)aaq	ghwaq	ghwxq	
~–(ghw/ngw/w)aagh-1	-ø41-31-1π64-¡	diligently V		ngw is used with vowel-ending bases; inghungwaaghtuq ‘he's picking berries carefully and thoroughly’ (from inghu- ‘to pick berries’); ghw is used with gh-ending bases;  qepghaghwaaghtuq ‘he's working diligently’ (from qepghagh- ‘to work’); w is used with g-ending bases; aallwaaghtuq ‘he's sweeping diligently and thoroughly’ (from alleg- ‘to sweep’); pangalwaaghtuq ‘it is running around (on four legs)’ (from pangaleg- ‘to run (on four legs)’); Igaghyamun apeghtughistengughtengngwaaghluni Uugsima esghaghyaqevut. ‘Uugsima, who we had seen (back then), had, in time, become teacher in the school.’ (PANGEGH. 36); underlyingly  this postbase is ~–(ng)uagh-; contrast this postbase with -(ghw/ngw/w)aagh-2, which despite being homophonous has almost the opposite meaning	thoroughly V	proper time (V at the ~)								attentively V			to diligently V; to thoroughly V; to V at the proper time; to V attentively		pb PE &u9a3a3-				~–(ghw/ngw/w)aagh-1	ghwngwwagh1	ghwngwwxgh1	-(ӷӱ-ңӱ-ӱ)āӷ-1
~–(ghw/ngw/w)aagh-2	-ø41-31-1π64-™	non-serious (V in a ~ way)		inghungwaaghtuq ‘he played at picking berries’ (from inghu- ‘to pick berries’); esghaghwaaghtuq ‘he had visions or halucinations’ (from esghagh- ‘to see’); igaghwaaghtuq ‘he scribbled’ (from igagh- ‘to write’); underlyingly this postbase is  ~–(ng)uagh-; contrast this postbase with -(ghw/ngw/w)aagh-1, which despite being homophonous has almost the opposite meaning	pretend to V	play at V-ing								not the usual purpose (V for ~)			to V in a non-serious way; to pretend to V; to V for something other than the usual purpose; to play at V-ing						~–(ghw/ngw/w)aagh-2	ghwngwwagh2	ghwngwwxgh2	-(ӷӱ-ңӱ-ӱ)āӷ-2
-ghwaagh-2				see ~–(ghw/ngw/w)aagh-2													to V in a non-serious way; to pretend to V; to V for something other than the usual purpose; to play at V-ing						~–(ghw/ngw/w)aagh-2	ghwngwwagh2	ghwngwwxgh2	
~–(ghw/ngw/w)aaq	-ø41-31-1π62	imitation N		nunangwaaq ‘little bit of land’ (from nuna ‘land’); sikungwaaq ‘little bit of ice’ (from siku ‘ice’); neqngwaaq ‘artificial food in any sense’ (from neqae  ‘food’); sigutngwaaq ‘imitation ear, thing like an ear’ (from sigun, sigutae ‘ear’); qayaghwaaq ‘toy kayak, model of a kayak’ (from qayaq ‘kayak’); atkuwaaq ‘model or play parka’ (from atkuk ‘parka’); aatghwaaq ‘pretend name, alias’ (from ateq ‘name’); the following are lexicalized: ighneghwaaq ‘finger’ or ‘toe’ (from ighneq ‘son’); siqinghwaaq ‘shattered glass’ (from siqineq ‘sun’); maklawaaq ‘caterpillar’ (from maklak ‘bearded seal’); underlyingly this postbase is ~–(ng)uaq	thing like N	little bit of N or little thing like N								pretend N			imitation N; artificial N; model N; toy N; pretend N; little bit of N or little thing like N; thing like N		pb PE -(&)u9a3(-)				~–(ghw/ngw/w)aaq	ghwngwwaq	ghwngwwxq	-(ӷӱ-ңӱ-ӱ)āқ
@~–(g)kaa-	-ø[πr6-	have V-ed		for details of attachment see  -(g)ka; underlyingly the present postbase is -(g)kau- which is apparent from the labialization of a following consonant where possible; qiyakaaguq ‘he has cried’, kina qiyakaawa? ‘who has cried?’ (from qiya- ‘to cry’); neghegkaaguq or neqaaguq ‘he has eaten; it has been eaten’ (from negh<e>- ‘to eat’ ); kuufkaaguq or kuuvegkaaguq ‘it has been spilled’ (from kuuve- ‘to spill’); taaqegkaaguq ‘he has quit’ (from taaqe- ‘to quit’ ); kaatkaaguq or kaaskaaguq ‘he has arrived’ (from kaate- ‘to arrive’); ingaghtekaaguq ‘he has lain down’ (from ingaghte- ‘to lie down’); qavaqaaguq ‘he has slept’ (from  qavagh- ‘to sleep’); neghyukaaguq ‘he had wanted to eat’ (from  neghyug- ‘to want to eat’); aatqaaguq ‘he has gone down’ (from ategh- ‘to go down’ ); pangalkaaguq ‘it has run’ (from pangaleg- ‘to run (animal)’ ); this postbase takes intransitive endings only; the corresponding postbase for transitive endings is -(g)kaqe-	been V-ed (have been V-ed)												to have V-ed; to have been V-ed.		< -(g)kaq-(ng)u-				@~–(g)kaa-	gka	gkx	-(х)кā-
@~–(g)kae	-ø[πrfs	one(s) possessor is V-ing		used only with possessed endings; tuguken ‘the one you are taking’ (from tugu- ‘to take’); neghyuken ‘the one you want to eat’ (from neghyug- ‘to want to eat’); esghaqen ‘the one you see’ (from esghagh- ‘to see’); g of this postbase is used with bases that end in e: kuuvegken ‘the one you are spilling’ (from kuuve- ‘to spill’; but kuufken may also be possible); te preceded by consonant usually does not take g: amqeghteken ‘the one you are biting’ (from amqeghte- ‘to bite’; but amqeghtegken is also possible); non-negative te preceded by a vowel usually becomes t or s: tuqusken or tuqutken ‘the one you are killing’ (from tuqute- ‘to kill’; but tuqutegken is also possible); negative te becomes l: neghenrilken ‘the one you are not eating’ (from neghenghite- ‘to not eat’); g is inserted before the ending -ka: esghaqegka ‘the one I see’; e of this postbase becomes a before ng: esghaqanga ‘the one he sees’;the morpheme that constitutes this postbase also constitutes the marker of a certain transitive (participial) verb mood with present (?) time implication, for example: esghaqen ‘you see it’ (as well as ‘the one you see’); esghaqegka ‘I see it’ (as well as ‘the one I see’); esghaqanga ‘he sees it’ (as well as ‘the one he sees’); esghaqanganga ‘he sees me’; esghaqangaten ‘he sees you’; esghaqevnga ‘you see me’; esghaqemken ‘I see you’; piniqenghilkanga ‘he doesn’t like him’ (as well as ‘the one he doesn’t like’) (from piniqenghite- ‘to not like’); neghegkeka ‘I am eating it’ (as well as ‘the one I am eating’) (from negh<e>- ‘to eat’); tuqutkanga or tuquskanga ‘he is killing it’ (as well as ‘the one I he is killing’)									disentangle the participial verb use of this morpheme with that of -kaq (q.v.)				the one(s) possessor is V-ing		pb PE k0(-)2				@~–(g)kae	gka	gka	-(х)каы
~–(g)kaq	-ø[πrf2	one that has V-ed		inghukaq ‘picked berry; one who has picked berries’ (from inghu- to pick berries); kuuvegkaq or kuufkaq ‘something that has spilled’ (from kuuve- ‘to spill’); taaqegkaq ‘someone who has quit’ (from taaqe- ‘to quit’); neghegkaq or neqaq ‘someone who has eaten; something that has been eaten’ (from negh<e>- ‘to eat’); tuqutkaq or tuquskaq ‘something killed’ (from tuqute- ‘to kill’); ingaghtekaq ‘one who has lain down’ (from ingaghte- ‘to lie down’); qavaqaq ‘one who has slept’ (from qavagh- ‘to sleep’); laakaq ‘one who has dug; something dug; a hole in the ground, snow or ice’ (from laag- ‘to dig’); ayghiqaq ‘something that has become set a certain way’ (from ayghigh- ‘to become set’); the morpheme that constitutes this postbase also constitutes the marker of a certain (participial) verb mood with a past time implication: qavaqaq ‘he slept’ (as well as ‘the one who slept’), qavaqanga ‘I slept’, qavaqakut ‘we slept’ (from qavagh- ‘to sleep’); esghaqan ‘you saw it’ (as well as ‘the thing you saw’), esghaqamken ‘I saw you’, esghaqaghpenga ‘you saw me’ (from esghagh- ‘to see’); cf. postbase -aq	been V-ed (one that has ~)												one that has V-ed; one that has been V-ed		pb PE ka3				~–(g)kaq	gkaq	gkaq	-(х)кақ
@~–(g)kaqe-	-ø[πr62s-	have V-ed (him/it)		esghaqaqanka ‘I have seen them’ (from esghagh- ‘to see’); liitkaqaten or liiskaqaten ‘you have learned them’ (from liite- ‘to learn’); neghegkaqaa or neqaqaa ‘he has eaten it’ (from neghe- ‘to eat’); this postbase takes transitive endings only; the orresponding postbase for intransitive endings is -(g)kaa- (q.v.)	been V-ed (have been V-ed)												to have V-ed (him/it)						@~–(g)kaqe-	gkaqe	gkaqe	-(х)кāқы-
~–(g)kaqsagh-	-ø[πrf2cz4-	fruitlessly (have V-ed fruitlessly)		esghaqaqsaghaa ‘he saw it in vain’ (from  esghagh- ‘to see’); when used with inransitive endings the postbase  –(g)kaayagh- (q.v.) is used instead	vian (have V-ed in vain)	but (have V-ed but. . . .)											to have V-ed fruitlessly; to have V-ed in vain; to have V-ed but. . . .		< -(g)kaq-ke1-yagh-				~–(g)kaqsagh-	gkaqsagh	gkaqsagh	-(х)кақсяӷ-
~–(g)kaayagh-	-ø[πr6z4-	fruitlessly (have V-ed fruitlessly)		for details of attachment see postbase -(g)ka; tagikaayaghtuq ‘he came but. . .’  (from tagi- ‘to come;); neghegkaayaghaa or neghegkaqsaghaa ‘he ate it in vain’ (from negh<e>- to eat’); iitqaayaghtuq ‘he entered in vain’ (from itegh- ‘to enter’); esghaqaayaghaa (or esghaqaqsaghaa) ‘he saw it in vain’ (from esghagh- ‘to see’); when used with transitive endings the postbase the postbase –(g)kaqsagh- (q.v.) is often used instead of this one	vian (have V-ed in vain)	but (have V-ed but. . . .)											to have V-ed fruitlessly; to have V-ed in vain; to have V-ed but. . . .		< -(g)kaa-yagh-				~–(g)kaayagh-	gkayagh	gkxyagh	-(х)кāяӷ-
~–(g)kayuk	-ø[πrf/r	readily (one that V-s ~)		aghulakayuguk ‘one who is able to dance’ (from aghula- ‘to dance’)	able (one that is ~ to V)												one that V-s readily; one who is able to V		pb PE kayu!(-)				~–(g)kayuk	gkayak	gkayak	-(х)каюк
~–(g)kayugu-	-ø[πrf/ue-	able (be ~ to V)		qiyakayuguuq ‘he can cry’ (from qiya- ‘to cry’); neghegkayuguuq or neqayuguuq ‘he can eat’; neghegkayugaa ‘he can eat it’ (from negh<e>- ‘to eat’); aqfaatkayuguuq or aqfaaskayuguuq ‘he can run’ (from aqfaate- ‘to run’); laalightekayuguuq ‘he can visit’ (from laalighte- ‘to visit’); pugimaqayuguuq ‘he can swim’ (from pugimagh- ‘to swim’); ilagaqayuguuq ‘he can sing hymns’ (from ilagagh- ‘to sing hymns’); iitqayuguuq ‘he can go in’ (from itegh- ‘to go in’)	can V												to be able to V; can V		< -kayuk-(ng)u-				~–(g)kayugu-	gkayugu	gkayugu	-(х)каюгу-
~–(g)kayugughte-	-ø[πrf/ue5ns-	able (become ~ to V)		aqfaatkayuguuq or aqfaaskayugughtuq ‘he has become able to run’ (from aqfaate- ‘to run’)	can V												to become able to V		< -kayuk-(ng)u-				~–(g)kayugughte-	gkayugughte-	gkayugughte-	-(х)каюгуҳты-
-gku-				see –ghqu-													to go to get N or to get something from N						–ghqu-	gku	gku	
-gllag-				see –ghllag-													to V or be V in a big way; to V for a long time						–ghllag-	gllag	gllag	
-gllagu-				see –ghllagu-													to be very V; to be busy V-ing						–ghllagu-	gllagu	gllagu	
-gllak				see –ghllak													big N; lots of N						–ghllak	gllak	gllak	
-gnaggaq*				see –ghnaggaq*													big N						–ghnaggaq*	gnaggaq	gnaggaq	
–gneq	-uys2	number (N (~) of things or groups)		used with a plural ending and therefore realized as –gneghet, –gneghneng, etc.; used on number bases from ‘two’ (in the form malghu, not maalghu) on up, to indicate the number of things, the noun for which is used in the plural or dual even for a single entitity, or to indicate the number of groups (such as families); note that the g of this postbase always stays as g; Malghugneghet siifluki unkuset ataasikaghsimalghiit kaviighmeng. ‘Setting two traps, [they] caught [one] fox.’ (SLI JR. DICT. 151; note that dual, unkusek, is used for one ‘trap’); Pingayugneghet angyat. ‘[There were] three boats with crew.’ (SIVUQ. NANGAGH. 3:122; note that plural, angyat, is used for one ‘boat with crew’); Naaka pingayugneghneng qiipaghalek. ‘My mother had three cloth cover parkas.’ (SULUWET 13; note that dual, qiipaghaak, is used for one ‘cloth cover parka’); Taakwagun, qamiyet malghugneghet, … ‘[For that first trip here] two sleds [were used], …’ (SIVUQ. NANGAGH. 2:156; note that dual, qamiyek, is used for one ‘sled’); Taakut Pugughileghmelnguut Agaankutlu, Anagutaankutlu malghugneghet. ‘Only two families were staying permanently at Southwest Cape, Agaq and family, and  Anagutaq and family.’ (SIVUQ. NANGAGH. 2:162); Isiqaghlleghhangunaamta tamlaghqutkakut, estamagneghni angyani. ‘Without splashing we landed in four boats.’ (PANGEGHTELLGHET 24; note that plural, angyat, is used for a single ‘boat and crew’); … mangteghat tallimagneghet aliighumalghiit. ‘… five houses had come into view.’ (UNGAZ. UNGIP. 20; note that plural, mangteghaq, is used for one ‘house’); Taan'gavek ivenrughtukut elngaatall malghugneghuluta. ‘We went in two [boats] out to sea using outboard motors.’ (SIVUQ. NANGAGH. 3:116)													N (number) of things; N (number) of groups						–gneq	gneq	gneq	-гнық
-gpagte-				see @–ghpagte-													to V rapidly, suddenly or in a major way						@–ghpagte-	gpagte	gpagte	
-gpak				see –ghpak													big N; huge N						–ghpak	gpak	gpak	
–gpe-	-[gs-	not V-ing		replaces the negative postbase -nghite- or -llghite-, when the subordinative mood is used; takes subordinative endings marked by -na-, rather than those marked by -lu- (and with person/number markers differing form the subordinative in -lu- in several ways); neghegpenani ‘(he) not eating’ (which is the subordinate corresponding to indicative neghenghituq ‘he didn't eat’), neghegpenaan ‘(any subject) not eating it’, neghegpenaki ‘(any subject) not eating them’ (from negh<e>- ‘to eat’); ukigpenang ‘(you) not going down’ (which is the subordinate corresponding to indicative ukinghituten ‘you didn't go down’) (from ukig- ‘to go down’); qavaghpenanga ‘(I) not sleeping’ (which is the subordinate corresponding to indicative qavanghitunga ‘I didn't sleep’)(from qavagh- ‘to sleep’); cf. -ngu-													not V-ing		pb PY-S v0(k0)-				–gpe-	gpe	gpe	-хпы-
