CSY word (Lat. orth.)	CSY word (Cyrillic)	CSY word (Cyr. orth.)	combined English gloss	Eng. gloss 1	Eng. gloss 2	Eng. gloss 3	Eng. gloss 4	ex'ples, etym, etc.	combined Russian gloss	derived forms	queries, etc.	PE (PY) source	Sib. source code	symantic code	alphabetization field A	alphabetization field B
aghneghiinaghqun	аӷныӷӣнаҳқун	f4ys47yf52ey	daily	daily				particle				< aghneq-?-inaq-vialis			aghneghinaghqun	aghneghxnaghqun
aghneghmi	аӷныӷми	f4ys4vb	today; during the daytime	today	daytime (during the ~)			particle				< aghneq-localis			aghneghmi	aghneghmi
aghneghniimna	аӷныӷнӣмна	f4ys4y7vyf	the one from earlier today	one from earlier today								< aghneghni + iimna (compound word)	CK Rub 32		aghneghnimna	aghneghnxmna
aghneghtaq	аӷныҳтақ	f4ys5nf2	the one from earlier today	one from earlier today				nagu yuuk aghneghtaq? ‘where is the man from earlier today’				< aghneq-taq2	CK Rub 32 CK		aghneghtaq	aghneghtaq
aghneghte-	аӷныҳты-	f4ys5ns-	to spend the day	spend the day				Sivuqaaneng piiwaaluni Sivungami aghneghsimalghii ‘when he was going back home to Gambell from Northeast Cape, he spent the day at Savoonga’				< aghneq-te2-	CK Rub 32 CK		aghneghte-	aghneghte-
aghneghtughte-	аӷныҳтуҳты-	f4ys5ne5ns-	for the days to get longer	days get longer	longer (days get ~)							< aghnegh-?-			aghneghtughte-	aghneghtughte-
aghneghtuumaan	аӷныҳтӯмāн	f4ys5n8v6y	during the day as well	day (during the ~ as well)				essentially a particle	lytv b yjxm/			< aghneq-tuumagh-quantifier/qualifier	Rub.  32		aghneghtuman	aghneghtxmxn
aghneq	аӷнық	f4ys2	day; today (as a particle)	day	today			aghneqaghaq ‘earlier today’; Sivuliq aghneq ‘Sunday’; Allgha aghneq ‘Monday’; Pingayaa aghneq ‘Tuesday’; Estamaa aghneq ‘Wednesday’; Tallimaa aghneq ‘Thursday’; Aghvillgha aghneq ‘Friday’; Maaghraghvinlek aghneq ‘Saturday’; Aghnaghaq una qepghaghpenani quunpeng naghaaghllak tamaghhaan aghneq. Aghneq iingunaan qepghanemni, qenwat meghnughaqunga. ‘This girl plays without working every day. When I work all day, I am tired.’ (UNGAZ. UNGIP. 68)			also ‘dawn’ as Rub. gives for the plural?	PY 03n0q (under PY-S 030-2); < aghte-neq2			aghneq	aghneq
Aghneq	Аӷнық	F4ys2	site in Chukotka	site in Chukotka				see Map 2 in Appendices					Men. 1972, 1975		aghneq	aghneq
aghnequn	аӷнықун	f4ys2ey	this afternoon; later today	afternoon (this ~)	later today	today (later ~)		particle				< aghneq-vialis			aghnequn	aghnequn
aghneqwaaqun	аӷнықӱāқун	f4ys2162ey	a little later today	later (a little ~ today)				particle				< aghneq-(ngw/ghw/w)aaq-vialis			aghneqwaqun	aghneqwxqun
aghni-	аӷни-	f4yb-	to spend one or more days; to stay an extra day while travelling (usually, in order to rest)	stay an extra day while travelling (usually, in order to rest)	spend one or more days			qikmini meghnaalisqelluki aghniiq ‘he stayed an extra day to let his dogs rest’				< aghneq-i2-	VK		aghni-	aghni-
aghpenghhayaaghek 	аҳпынҳая̄ӷык	f5gsy5f94sr	billowy bloomers; woman's underpants	bloomers (billowy)	underpants, woman’s, old-fashioned							< aghpuneq-ghhaq-?-dual			aghpenghhayaghek 	aghpenghhayxghek 
aghpu-	аҳпу-	f5ge-						root; > aghpugte-, aghpuuk, aghpumla, aghpuneq, aghpunghhaak							aghpu-	aghpu-
Aghpuuget	Аҳпӯгыт	F5g8usn	a particular clan	clan (a particular ~)				singular is Aghpuuk							Aghpuget	Aghpxget
aghpugpaghlleq	аҳпухпаҳльық	f5ge[gf5k]s2	small blister	blister, small				< aghpu-?-ghpak-lleq				< aghpu-?-ghpak-lleq			aghpugpaghlleq	aghpugpaghlleq
aghpuugsaasiq	аҳпӯхся̄сиқ	f5g8[c9cb2	baking powder; leavening agent	baking powder	leavening agent							< aghpuuk-sagh-(u)siq			aghpugsasiq	aghpxgsxsiq
aghpugte-	аҳпухты-	f5ge[ns-	to rise (of dough  or the like); to swell	rise (of dough or the like)	swell up			Chukotkan (R, V&E) 	gjlybvfnmcz øj ntcntπ		cf. aghpu- as in aghpuuk ‘foam’, aghpuugsaasiq ‘leavening agent’, aghpuneq ‘gas in stomach’; check length of u here; used in SLI?	< aghpu-?-	Rub. 116 (2nd gloss: CK V & E 177)		aghpugte-	aghpugte-
aghpuuk	аҳпӯк	f5g8r	foam	foam								< aghpu-?-			aghpuk	aghpxk
aghpuulleq	аҳпӯльық	f5g8k]s2	blister	blister				Chukotkan (R)				< aghpuuk-lleq	CK Rub 116		aghpulleq	aghpxlleq
aghpumla	аҳпумля	f5gevkz	deep, soft, powdery snow	snow, deep soft and powdery								< aghpu-?-			aghpumla	aghpumla
aghpumla-	аҳпумля-	f5gevkz-	to go through deep snow	snow (go through deep soft powdery ~)	go through deep soft and powdery snow			aghpumlaaq ‘he went through deep snow’				< aghpu-?-			aghpumla-	aghpumla-
aghpuneq	аҳпунық	f5geys2	gas in stomach or intestines	gas in stomach or intestines				aghpuniqunga ‘I am now troubled by gas in my stomach or intestines’ 				< aghpu-neq2			aghpuneq	aghpuneq
aghpuneqrak	аҳпунықшак	f5geys2ifr	bubble	bubble				eslallugmi mesagmi allgeghumaaq uglalghii aghpuneqrak ‘a lot of bubbles  formed in the puddle during the rain’				< aghpuneq-krak	CK Rub 116		aghpuneqrak	aghpuneqrak
aghpunghhaak	аҳпунҳāк	f5gey56r	billowy bloomers; woman's underpants	bloomers (billowy)	underpants, woman’s, old-fashioned							< aghpuneq-dual			aghpunghhak	aghpunghhxk
aaghqaghte-1	āҳқаҳты-1	652f5ns-¡	to take a route different from usual; to detour; to avoid; to evade; to put rope around or across something	detour	avoid	put rope around something		aaghqaghtuq ‘he went a different way’; aaghqaghtaa ‘he didn’t stop at it’ / taagagun aaghqaghsimaaq ‘he went by the far side instead’; aaghqaghtaa tapghaq ‘he put the rope around that part’				< aag-qaghte-			aghqaghte-	xghqaghte-
aaghqaghte-2	āҳқаҳты-2	652f5ns-™	to urge; to encourage	urge	encourage			aaghqaghtuq ‘he went a different way’; aaghqaghtaa ‘he didn’t stop at it’ / taagagun aaghqaghsimaaq ‘he went by the far side instead’; aaghqaghtaa tapghaq ‘he put the rope around that part’				< aaghte2-qaghte-			aghqaghte-2	xghqaghte-2
aghqaraataq	аҳқарāтақ	f52fh6nf2	noose	noose				Chukotkan (R)					CK Rub 112		aghqarataq	aghqarxtaq
aghqe-1	аҳқы-1	f52s-¡	to make an offering of food for the deceased	offering (make an ~ of food for the deceased)				cf. eghqwaagh-		aghqefik					aghqe-1	aghqe-1
aghqe-2 	аҳқы-2	f52s-™						root; > aghqelli-, aghqelngestaq, aghqestaaq, aghqitaghaq							aghqe-2 	aghqe-2 
aghqefik	аҳқыфик	f52sabr	place for making food offerings to the deceased (traditionally); altar	altar	offerings (place for making food ~ to the deceased)							< aghqe1-vik			aghqefik	aghqefik
aghqelengestaq1	аҳқылыңыстақ1	f52sks3scnf2¡	primer for bullet	primer for bullet								< aghqe2-?-ngestaq			aghqelengestaq1	aghqelengestaq1
aghqelengestaq2	аҳқылыңыстақ2	f52sks3scnf2™	shallow water (or anything else)	shallow water (or anything else)								< aghqe2-?-ngestaq			aghqelengestaq2	aghqelengestaq2
aghqella	аҳқылья	f52sk]z	seine	seine											aghqella	aghqella
aghqella-	аҳқылья-	f52sk]z-	to fish with seine	fish with seine				Kiiwegni aghqellaakut. ‘We seined at the river.’ (SLI JR. DICT. 15)							aghqella-	aghqella-
aghqelli-	аҳқыльи-	f52sk]b-	to lower; to make lower; to become shallow	lower (or make ~)	shallow (become ~)			aghqelliiq ‘it is becoming lower, getting shallow’; aghqellii ‘he is lowering it, making it lower’ / aghqellii aghvighyaghaq ‘he made the crossing ramp lower’; naayvaq aghqelliighaghtuq ‘the lake is becoming shallow’				< aghqe2-i2-			aghqelli-	aghqelli-
aghqeme-	аҳқымы-	f52svs-	to crumble; to shatter; to become envious	crumble	shatter	envious (become ~)		aghqemuq ‘it shattered’ / aghqemtaa ‘he shattered it’; qayuusiq ifkaghlluku aghqemsimaa ‘by dropping the cup he made it shatter’;  aghqemuq anengani ullgitangyan‘ he became envious when his older brother got a snowmachine’					A&W 3		aghqeme-	aghqeme-
aghqengwaagh-	аҳқыңӱāӷ-	f52s3164-	to make a sacrifice	sacrifice (make a ~)				Chukotkan (R)	ghbyjcbnm d ;thnde xnj-k>			< aghqe1-(ghw/ngw/w)aagh-	Rub. 114		aghqengwagh-	aghqengwxgh-
aghqestaaghhaq*	аҳқыстāҳақ	f52scn65f2	shoal; low thing	shoal	low thing							< aghqe2-staaghhaq			aghqestaghhaq*	aghqestxghhaq*
aghqestaalleq	аҳқыстāльық	f52scn6k]s2	shoal; low thing	shoal	low thing			Chukotkan (R, V&E)	vtkm			< aghqe2-staaq-lleq	CK V & E 39; Rub 114		aghqestalleq	aghqestxlleq
aghqetghagh-	аҳқытҳаӷ-	f52sn5f4-	to crust over (of snow); to travel on crusted snow; to freeze over (of surface of snow)	crust over (of snow)	travel on crusted snow	freeze over (of surface of snow)		Ighivgaqun aghqetghaqagu igleghllequnga. ‘I’ll leave when the snow crusts over tonight.’ (SLI JR. DICT. 15)				PE qi30t3a3- (under qi30-)			aghqetghagh-	aghqetghagh-
aghqetghaq	аҳқытҳақ	f52sn5f2	refrozen ground in spring; frozen crust on snow	refrozen ground in spring	frozen crust on snow			caused by low termperatures at night after a warm day				PE qi30t3a3- (under qi30-)			aghqetghaq	aghqetghaq
aghqiikw	аҳқӣӱк	f5271r	squeak or crunch of snow or pebbles under the feet	squeak or crunch of snow or pebbles under the feet				aghqiikw qiinghaghsaqegka qikmiiftuq ‘I looked out to check on the crunching noise and it turned out to be a dog’	crhbg. [hecn cytuf. ufkmrb gjl yjufvb				Rub. 113; A&W 4		aghqikw	aghqxkw
Aghqitaghangha	Аҳқитаӷанӷа	F52bnf4fy4f	southern part of Troutman Lake which is next to Gambell	Troutman Lake (southern part of ~ which is next to Gambell)				literally ‘the shallow area’; see Map 7 in Appendices				< aghqitaghaq-neq3-possessed ending			Aghqitaghangha	Aghqitaghangha
aghqitaghaq	аҳқитаӷақ	f52bnf4f2	shallow water	shallow water								< aghqe2-?			aghqitaghaq	aghqitaghaq
aghqiiwhtagh-	аҳқӣӱхтаӷ-	f5271[nf4-	to make a crunching sound	make a crunching sound	crunching sound (make a ~)			aghqiiwhtaghtuq ‘he made a crunching sound’				< aghqiikw	VK’s dict. revs.		aghqiwhtagh-	aghqxwhtagh-
aghquugte-	аҳқӯхты-	f528[ns-	to be pale from illness	pale from illness				cf. aghsugh-							aghqugte-	aghqxgte-
aghqulluk	аҳқульюк	f52ek]/r	northern fulmar (Fulmarus glacialis)	northern fulmar	fulmar, northern	Fulmarus glacialis									aghqulluk	aghqulluk
aghqunqaq	аҳқунқақ	f52ey2f2	crest along mountainside; small depression; hole; curve	crest along mountainside	small depression	hole	curve						gloss 2, 3, 4 from CK Rub 113		aghqunqaq	aghqunqaq
aaghqutaq	āҳқутақ	652enf2	a certain ball game	ball game				Chukotkan; called kalleghta by most people on St. Lawrence Island				< aag-qutaq			aghqutaq	xghqutaq
aaghqutaate-	āҳқутāты-	652en6ns-	to detour; to decide for someone without giving him a say	detour	decide for someone without giving him a say			aaghqutaatestegpenasi seghletun pinaqelghiinun ‘don't let them tell you what to do when they are doing wrong’				< aag-?-			aghqutate-	xghqutxte-
aaghqute-	āҳқуты-	652ens-	to comply with the wishes of another	comply with the wishes of another				aaghqutaa ‘he did as she wanted’ /				< aaghte-?-			aghqute-	xghqute-
aghqutite-	аҳқутиты-	f52enbns-	to make sacrifices	make sacrifices	sacrfices (make ~)			Chukotkan (R)				< aghqe1-?	CK Rub 114		aghqutite-	aghqutite-
aghquutke-	аҳқуткы-	f52enrs-	to cause disaster or hardship	disaster (cause ~)	hardship (cause ~)			ulevelleghmeng aghquutkaqii yuget aangelghiimeng ikfiqmeng ‘the flood is causing the people hardship’ (?)					CK Rub 114		aghqutke-	aghqxtke-
aghquvlug-	аҳқувлуг-	f52edkeu-	to make a depressionor dent; to hollow out	depression (make a ~)	hollow out	dent (make a ~)					note that Rub. 113 has quite a bit about this, but not just the form as given here, more things like aghquvlungllagh- ‘to make a depression in it’, etc.; VK suggests that this can also be a verb directly, aghquvlug- ‘to have a depression, be hollowed out’ 		A&W 4		aghquvlug-	aghquvlug-
aghquvluk	аҳқувлук	f52edker	depression; hollow; dent	depression (hollow)	hollow	dent		qulmesiin aghquvlukegtepigtuq ‘the cooking pot has a big dent’			note that Rub. 113 has quite a bit about this, but not just the form as given here, more things like aghquvlungllagh- ‘to make a depression in it’, etc.; VK suggests that this can also be a verb directly, aghquvlug- ‘to have a depression, be hollowed out’ 		A&W 4		aghquvluk	aghquvluk
aghsagh-	аҳсяӷ-	f5cz4-						root > aghsaghte-, aghsaghmete-, aghsaan				PE a3ca3-			aghsagh-	aghsagh-
aghsaghmete-	аҳсяӷмыты-	f5cz4vsns-	to be good weather; to favor; to pay particular attention (good or bad) toward (him)	good weather	favor	pay particular attention (good or bad) toward (him)		aghsaghmetuq ‘it (the weather is good)’; aghsaghmetaa ‘he favors him’ / 				< aghsagh-mete-			aghsaghmete-	aghsaghmete-
aghsaghtaghwaagh-	аҳсяҳтаӷӱāӷ-	f5cz5nf4164-	to give up or quit from malice or out of vexation	give up from malice or out of vexation	quit from malice or out of vexation			Chukotkan (R); questioned	cj pkf. c ljcfls jncnegbnmcz. øgthty>π vf[yenm herjq		check	< aghsaghte-?-(ghw/ngw/w)aagh-	Rub. 116		aghsaghtaghwagh-	aghsaghtaghwxgh-
aghsaghte-	аҳсяҳты-	f5cz5ns-	to overdo; to behave in an excessive way; to annoy	overdo	excessive (behave in an ~ way)	behave in an excessive way	annoy	yugem aghsaghtawaaghyaqminigu ilani amyughaaghmeng, elngaatall qinuyugtekaa ‘when the man teased his friend too much that friend was greatly annoyed’				< aghsagh-te1-			aghsaghte-	aghsaghte-
aghsaakun	аҳся̄кун	f5c9rey	cleanly	cleanly				particle					CK Rub 116		aghsakun	aghsxkun
aghsaan	аҳся̄н	f5c9y	excessively; overly; too much; not very much	excessively	overly	too much	not very much	particle; ugket taghyulipalghiim aghsaan taghyughnitkayuguut ‘when you put too much salt in cooked meat it tastes overly salty’; aghsaan tuuneghllagpenanga ‘don't give me too much’; aghsaan mekestaapiwaa ‘how small it is!’; movie aghsaan ayuqeftuq ‘the movie wasn’t very good’				< aghsagh-consequential mood			aghsan	aghsxn
aghsi	аҳси	f5cb	thong holding shank (giimaq) to harpoon shaft	thong holding shank to harpoon shaft				= aaghsi			or aaghsi? (Yupik Lore vol. 1 p. 170-174 has it both ways; curriculum manual only as aaghsi); Rub. glosses it also as ‘rope made from baleen’;; see Harpoon Parts in Appendix		CK Rub 116		aghsi	aghsi
aaghsi	āҳси	65cb	thong holding shank (giimaq) to harpoon shaft	thong holding shank to harpoon shaft				= aghsi		; see Parts of Harpoon in Appendix	or aghsi? (Yupik Lore vol. 1 p. 170-174 has it both ways; curriculum manual only as aaghsi)				aghsi	xghsi
aghsug-	аҳсюг-	f5c/u-	to put (a baby) down to sleep	put baby down to sleep				aghsugaa ‘he put it (baby) down to sleep’ / aghsugiiq he put a baby down to sleep’; Taghnughhaqa aghsugaqa qavaghyan. ‘I lay down my child [in bed] when she went to sleep.’ (SLI JR. DICT. 16)							aghsug-	aghsug-
aghsugh-	аҳсюӷ-	f5c/4-	to be or become pale; to be or become bleached	pale (be or become ~)	bleached (be or become ~)			aghsughtuq ‘he or it became pale’ / aghsughtaa ‘he bleached it’; cf aghquugte-		aghsughtaq		PE qakcu3 (under PE qak0(3)-)			aghsugh-	aghsugh-
Aghsughaleq	Аҳсюӷалық	F5c/4fks2	site on the coast east of Gambell at Tiflighak Bay	site on the coast east of Gambell at Tiflighak Bay	Tiflighak Bay (site on the coast east of Gambell at ~)			see Map 7 in Appendices							Aghsughaleq	Aghsughaleq
aghsughpaglleq	аҳсюҳпахльық	f5c/5gf[k]s2	small scratch	scratch, small									CK Rub 116		aghsughpaglleq	aghsughpaglleq
aghsughtaq	аҳсюҳтақ	f5c/5nf2	bleached dried sealgut for making rain or wind parka; sealgut rain or wind parka	dried and bleached dried sealgut for making rain or wind parka	sealgut rain or wind parka							< aghsugh-te1-aq			aghsughtaq	aghsughtaq
aghsugutaq 	аҳсюгутақ	f5c/uenf2	crib for baby to sleep in	crib for baby to sleep in								< aghsug-(u)taq			aghsugutaq 	aghsugutaq 
aghtaghagh-	аҳтаӷаӷ-	f5nf4f4-	to become light	light (become ~)				aghtaghaghtuq ‘it is becoming light’ / 				< aghte-?-			aghtaghagh-	aghtaghagh-
aghte-	аҳты-	f5ns-	to dawn; for day to break	dawn comes	day breaks			aghtuq ‘it is dawn, it has become day’ / aghhutanga maliglluku aliighaa ‘it cleared up as it became day’; aghhutaa ‘day came upon him’; = eghte-		aghtaghagh-, aghneq, aghhunneghagu		PE e30-2			aghte-	aghte-
aaghte-1	āҳты-1	65ns-¡	to move a little; to budge; to change one's mind; for there to be an earthquake	move a little	change one's mind	budge	earthquake (there is an ~)			aaghhaghte-					aghte-1	xghte-1
aaghte-2	āҳты-2	65ns-™	to convince	convince				aaghtaa ‘he convinced her’/		aaghtiiraagh-, aaghqute-, aaghneghlluk					aghte-2	xghte-2
aghteq-	аҳтық-	f5ns2-						root > aghteqeregaaq, aghteqeregagh-, aghtequq							aghteq-	aghteq-
aghteqeregagh-	аҳтықырыгаӷ-	f5ns2shsuf4-	to snack on roots or greens with blubber and raw meat	snack on roots or greens with blubber and raw meat								< aghteq-?-			aghteqeregagh-	aghteqeregagh-
aghteqeregaaq	аҳтықырыгāқ	f5ns2shsu62	puffball (Bovista sp.)	puffball	Bovista sp.							< aghteq-?	from Aynganga’s “Beringia” article		aghteqeregaq	aghteqeregxq
aghtequq	аҳтықуқ	f5ns2e2	dish of roots or greens with blubber and raw meat	dish of roots or greens with blubber and raw meat				Nunivagmeng aghtequlighluku neghtunga. ‘I ate, having rosewort as a side dish.’ (SLI JR. DICT. 17)				< aghteq-?			aghtequq	aghtequq
aghtequsaq	аҳтықусяқ	f5ns2ecz2	blubber eaten with roots or greens	blubber eaten with roots or greens								< aghtequq-?			aghtequsaq	aghtequsaq
